domain,sub_domain,plaintext,ciphertext,algorithm
Personal Privacy Data,Identity Information,"Ledia, an American, resides in Los Angeles.","Ovwrz, zm Znvirxzm, ivhrwvh rm Olh Zmtvovh.",AtBash
Personal Privacy Data,Identity Information,Dean holds the passport number A1084796.,Wvzm slowh gsv kzhhklig mfnyvi Z1084796.,AtBash
Personal Privacy Data,Identity Information,Clark holds the ID Card Number 1931-9374-8919.,Xozip slowh gsv RW Xziw Mfnyvi 1931-9374-8919.,AtBash
Personal Privacy Data,Identity Information,Paul will go to Vienna for a conference next year.,Kzfo droo tl gl Ervmmz uli z xlmuvivmxv mvcg bvzi.,AtBash
Personal Privacy Data,Identity Information,Emma often dates on Facebook without telling her family.,Vnnz lugvm wzgvh lm Uzxvyllp drgslfg gvoormt svi uznrob.,AtBash
Personal Privacy Data,Identity Information,Smith has been divorced several times and has a stepson.,Hnrgs szh yvvm wrelixvw hvevizo grnvh zmw szh z hgvkhlm.,AtBash
Personal Privacy Data,Identity Information,"James, American, is married to Susan.","Qznvh, Znvirxzm, rh nziirvw gl Hfhzm.",AtBash
Personal Privacy Data,Identity Information,"Smith, a 34-year-old resident, can be reached at +1-501-234-5678.","Hnrgs, z 34-bvzi-low ivhrwvmg, xzm yv ivzxsvw zg +1-501-234-5678.",AtBash
Personal Privacy Data,Identity Information,Name: Patrick; Passport Number: X1046823549; Nationality: Canadian.,Mznv: Kzgirxp; Kzhhklig Mfnyvi: C1046823549; Mzgrlmzorgb: Xzmzwrzm.,AtBash
Personal Privacy Data,Identity Information,"Mr. Jonathan Lee, residing at 123 Maple Street, Springfield, was born in 1985.","Ni. Qlmzgszm Ovv, ivhrwrmt zg 123 Nzkov Hgivvg, Hkirmturvow, dzh ylim rm 1985.",AtBash
Personal Privacy Data,Identity Information,"Peter was born on April 23, 1985, and carries a passport with the number X844805.","Kvgvi dzh ylim lm Zkiro 23, 1985, zmw xziirvh z kzhhklig drgs gsv mfnyvi C844805.",AtBash
Personal Privacy Data,Identity Information,"John Doe, American, resides at 742 Evergreen Terrace, Springfield, with the phone number 1973170187. He is married.","Qlsm Wlv, Znvirxzm, ivhrwvh zg 742 Vevitivvm Gviizxv, Hkirmturvow, drgs gsv kslmv mfnyvi 1973170187. Sv rh nziirvw.",AtBash
Personal Privacy Data,Identity Information,Sol used to live in Texas and now resides in California with his wife.,Hlo fhvw gl orev rm Gvczh zmw mld ivhrwvh rm Xzorulimrz drgs srh druv.,AtBash
Personal Privacy Data,Identity Information,"Gender: Female; Household Registration: 123 Maple Street, Springfield, State, Postal Code 98765.","Tvmwvi: Uvnzov; Slfhvslow Ivtrhgizgrlm: 123 Nzkov Hgivvg, Hkirmturvow, Hgzgv, Klhgzo Xlwv 98765.",AtBash
Personal Privacy Data,Identity Information,Max has been divorced several times and has a stepson.,Nzc szh yvvm wrelixvw hvevizo grnvh zmw szh z hgvkhlm.,AtBash
Personal Privacy Data,Identity Information,"Noah shares hiking moments on Snapchat, usually posting pictures of breathtaking views during weekends.","Mlzs hszivh srprmt nlnvmgh lm Hmzkxszg, fhfzoob klhgrmt krxgfivh lu yivzgsgzprmt ervdh wfirmt dvvpvmwh.",AtBash
Personal Privacy Data,Identity Information,"Nationality: Canadian, Gender: Female, ID Card Number: A04971921, Residential Address: 456 Maple Leaf Drive, Vancouver, BC V6T 1Z4, Canada, Date of Birth: 1995-07-12.","Mzgrlmzorgb: Xzmzwrzm, Tvmwvi: Uvnzov, RW Xziw Mfnyvi: Z04971921, Ivhrwvmgrzo Zwwivhh: 456 Nzkov Ovzu Wirev, Ezmxlfevi, YX E6G 1A4, Xzmzwz, Wzgv lu Yrigs: 1995-07-12.",AtBash
Personal Privacy Data,Identity Information,"Name: Jordan Smith; Date of Birth: April 12, 1985; Country of Residence: Canada; Gender: Non-binary; Occupation: Data Analyst; Contact Number: +01-984-157-8901; Postal Address: 789 Maple Lane, Toronto.","Mznv: Qliwzm Hnrgs; Wzgv lu Yrigs: Zkiro 12, 1985; Xlfmgib lu Ivhrwvmxv: Xzmzwz; Tvmwvi: Mlm-yrmzib; Lxxfkzgrlm: Wzgz Zmzobhg; Xlmgzxg Mfnyvi: +01-984-157-8901; Klhgzo Zwwivhh: 789 Nzkov Ozmv, Glilmgl.",AtBash
Personal Privacy Data,Identity Information,"Smith, Date of Birth: November 15, 1987, Marital Status: Married, Passport Number: A0947106, Registered Residence: Springfield, Illinois, Residential Address: 456 Elm St., Shelbyville, Illinois.","Hnrgs, Wzgv lu Yrigs: Mlevnyvi 15, 1987, Nzirgzo Hgzgfh: Nziirvw, Kzhhklig Mfnyvi: Z0947106, Ivtrhgvivw Ivhrwvmxv: Hkirmturvow, Roormlrh, Ivhrwvmgrzo Zwwivhh: 456 Von Hg., Hsvoyberoov, Roormlrh.",AtBash
Personal Privacy Data,Identity Information,"Name: John Doe; Nationality: Canadian; Gender: Male; Marital Status: Single; Date of Birth: May 23, 1993; Residential Address: 123 Maple Street, Toronto, Ontario, A1B 2C3; ID Card Number: CAN123456789; Passport Number: PQ4815162342; Registered Residence: Vancouver, British Columbia.","Mznv: Qlsm Wlv; Mzgrlmzorgb: Xzmzwrzm; Tvmwvi: Nzov; Nzirgzo Hgzgfh: Hrmtov; Wzgv lu Yrigs: Nzb 23, 1993; Ivhrwvmgrzo Zwwivhh: 123 Nzkov Hgivvg, Glilmgl, Lmgzirl, Z1Y 2X3; RW Xziw Mfnyvi: XZM123456789; Kzhhklig Mfnyvi: KJ4815162342; Ivtrhgvivw Ivhrwvmxv: Ezmxlfevi, Yirgrhs Xlofnyrz.",AtBash
Personal Privacy Data,Identity Information,"James lives at 123 Maple Street, Apt 4, Springfield, IL, 62704. He is associated with family members Mary Doe and Richard Roe. His mobile number is 555-6789. He identifies as male and holds Irish nationality. Household registration states residence at 789 Oak Ridge, Newtown, Ireland.","Qznvh orevh zg 123 Nzkov Hgivvg, Zkg 4, Hkirmturvow, RO, 62704. Sv rh zhhlxrzgvw drgs uznrob nvnyvih Nzib Wlv zmw Irxsziw Ilv. Srh nlyrov mfnyvi rh 555-6789. Sv rwvmgrurvh zh nzov zmw slowh Rirhs mzgrlmzorgb. Slfhvslow ivtrhgizgrlm hgzgvh ivhrwvmxv zg 789 Lzp Irwtv, Mvdgldm, Rivozmw.",AtBash
Personal Privacy Data,Identity Information,"John Smith, born on January 15, 1990, holds American nationality and resides at 123 Elm Street, Springfield, Illinois. His mobile number is +1-312-555-6789, and his ID card number is IDURITY1234567. He is married to Jane Smith, who can be reached at +1-312-555-6789. They have two children: Emily (16, high school) and Michael (12, middle school). Their address and contact information are the same.","Qlsm Hnrgs, ylim lm Qzmfzib 15, 1990, slowh Znvirxzm mzgrlmzorgb zmw ivhrwvh zg 123 Von Hgivvg, Hkirmturvow, Roormlrh. Srh nlyrov mfnyvi rh +1-312-555-6789, zmw srh RW xziw mfnyvi rh RWFIRGB1234567. Sv rh nziirvw gl Qzmv Hnrgs, dsl xzm yv ivzxsvw zg +1-312-555-6789. Gsvb szev gdl xsrowivm: Vnrob (16, srts hxsllo) zmw Nrxszvo (12, nrwwov hxsllo). Gsvri zwwivhh zmw xlmgzxg rmulinzgrlm ziv gsv hznv.",AtBash
Personal Privacy Data,Health Information,Medical Record Number: 987-654-321; Patient Name: James.,Nvwrxzo Ivxliw Mfnyvi: 987-654-321; Kzgrvmg Mznv: Qznvh.,AtBash
Personal Privacy Data,Health Information,The Brian family has a history of heart disease.,Gsv Yirzm uznrob szh z srhglib lu svzig wrhvzhv.,AtBash
Personal Privacy Data,Health Information,"Patient ID: R567890; Name: Sarah Johnson; Age: 29; Diagnoses: Migraine, Generalized Anxiety Disorder.","Kzgrvmg RW: I567890; Mznv: Hzizs Qlsmhlm; Ztv: 29; Wrztmlhvh: Nrtizrmv, Tvmvizoravw Zmcrvgb Wrhliwvi.",AtBash
Personal Privacy Data,Health Information,Patient ID: R094713; Name: Jamie Lee; Age: 45; Gender: Female; EMR: EHR-234987.,Kzgrvmg RW: I094713; Mznv: Qznrv Ovv; Ztv: 45; Tvmwvi: Uvnzov; VNI: VSI-234987.,AtBash
Personal Privacy Data,Health Information,"Individual ID: A1234567; Name: Jane Doe; Age: 34; Genetic Testing: Chromosome 16p11.2 Deletion, Celiac Disease Predisposition.","Rmwrerwfzo RW: Z1234567; Mznv: Qzmv Wlv; Ztv: 34; Tvmvgrx Gvhgrmt: Xsilnlhlnv 16k11.2 Wvovgrlm, Xvorzx Wrhvzhv Kivwrhklhrgrlm.",AtBash
