domain,sub_domain,plaintext,ParityShift
Personal Privacy Data,Identity Information,"Ledia, an American, resides in Los Angeles.","Mdehz, zo Zldshbzo, sdrhedr ho Mnr Zofdmdr."
Personal Privacy Data,Identity Information,Dean holds the passport number A1084796.,Edzo inmer uid qzrrqnsu otlcds Z1084796.
Personal Privacy Data,Identity Information,Clark holds the ID Card Number 1931-9374-8919.,Bmzsj inmer uid HE Bzse Otlcds 1931-9374-8919.
Personal Privacy Data,Identity Information,Paul will go to Vienna for a conference next year.,Qztm vhmm fn un Whdooz gns z bnogdsdobd odyu xdzs.
Personal Privacy Data,Identity Information,Emma often dates on Facebook without telling her family.,Dllz ngudo ezudr no Gzbdcnnj vhuintu udmmhof ids gzlhmx.
Personal Privacy Data,Identity Information,Smith has been divorced several times and has a stepson.,Rlhui izr cddo ehwnsbde rdwdszm uhldr zoe izr z rudqrno.
Personal Privacy Data,Identity Information,"James, American, is married to Susan.","Kzldr, Zldshbzo, hr lzsshde un Rtrzo."
Personal Privacy Data,Identity Information,"Smith, a 34-year-old resident, can be reached at +1-501-234-5678.","Rlhui, z 34-xdzs-nme sdrhedou, bzo cd sdzbide zu +1-501-234-5678."
Personal Privacy Data,Identity Information,Name: Patrick; Passport Number: X1046823549; Nationality: Canadian.,Ozld: Qzushbj; Qzrrqnsu Otlcds: Y1046823549; Ozuhnozmhux: Bzozehzo.
Personal Privacy Data,Identity Information,"Mr. Jonathan Lee, residing at 123 Maple Street, Springfield, was born in 1985.","Ls. Knozuizo Mdd, sdrhehof zu 123 Lzqmd Rusddu, Rqshofghdme, vzr cnso ho 1985."
Personal Privacy Data,Identity Information,"Peter was born on April 23, 1985, and carries a passport with the number X844805.","Qduds vzr cnso no Zqshm 23, 1985, zoe bzsshdr z qzrrqnsu vhui uid otlcds Y844805."
Personal Privacy Data,Identity Information,"John Doe, American, resides at 742 Evergreen Terrace, Springfield, with the phone number 1973170187. He is married.","Knio End, Zldshbzo, sdrhedr zu 742 Dwdsfsddo Udsszbd, Rqshofghdme, vhui uid qinod otlcds 1973170187. Id hr lzsshde."
Personal Privacy Data,Identity Information,Sol used to live in Texas and now resides in California with his wife.,Rnm trde un mhwd ho Udyzr zoe onv sdrhedr ho Bzmhgnsohz vhui ihr vhgd.
Personal Privacy Data,Identity Information,"Gender: Female; Household Registration: 123 Maple Street, Springfield, State, Postal Code 98765.","Fdoeds: Gdlzmd; Intrdinme Sdfhruszuhno: 123 Lzqmd Rusddu, Rqshofghdme, Ruzud, Qnruzm Bned 98765."
Personal Privacy Data,Identity Information,Max has been divorced several times and has a stepson.,Lzy izr cddo ehwnsbde rdwdszm uhldr zoe izr z rudqrno.
Personal Privacy Data,Identity Information,"Noah shares hiking moments on Snapchat, usually posting pictures of breathtaking views during weekends.","Onzi rizsdr ihjhof lnldour no Rozqbizu, trtzmmx qnruhof qhbutsdr ng csdzuiuzjhof whdvr etshof vddjdoer."
Personal Privacy Data,Identity Information,"Nationality: Canadian, Gender: Female, ID Card Number: A04971921, Residential Address: 456 Maple Leaf Drive, Vancouver, BC V6T 1Z4, Canada, Date of Birth: 1995-07-12.","Ozuhnozmhux: Bzozehzo, Fdoeds: Gdlzmd, HE Bzse Otlcds: Z04971921, Sdrhedouhzm Zeesdrr: 456 Lzqmd Mdzg Eshwd, Wzobntwds, CB W6U 1A4, Bzozez, Ezud ng Chsui: 1995-07-12."
Personal Privacy Data,Identity Information,"Name: Jordan Smith; Date of Birth: April 12, 1985; Country of Residence: Canada; Gender: Non-binary; Occupation: Data Analyst; Contact Number: +01-984-157-8901; Postal Address: 789 Maple Lane, Toronto.","Ozld: Knsezo Rlhui; Ezud ng Chsui: Zqshm 12, 1985; Bntousx ng Sdrhedobd: Bzozez; Fdoeds: Ono-chozsx; Nbbtqzuhno: Ezuz Zozmxru; Bnouzbu Otlcds: +01-984-157-8901; Qnruzm Zeesdrr: 789 Lzqmd Mzod, Unsnoun."
Personal Privacy Data,Identity Information,"Smith, Date of Birth: November 15, 1987, Marital Status: Married, Passport Number: A0947106, Registered Residence: Springfield, Illinois, Residential Address: 456 Elm St., Shelbyville, Illinois.","Rlhui, Ezud ng Chsui: Onwdlcds 15, 1987, Lzshuzm Ruzutr: Lzsshde, Qzrrqnsu Otlcds: Z0947106, Sdfhrudsde Sdrhedobd: Rqshofghdme, Hmmhonhr, Sdrhedouhzm Zeesdrr: 456 Dml Ru., Ridmcxwhmmd, Hmmhonhr."
Personal Privacy Data,Identity Information,"Name: John Doe; Nationality: Canadian; Gender: Male; Marital Status: Single; Date of Birth: May 23, 1993; Residential Address: 123 Maple Street, Toronto, Ontario, A1B 2C3; ID Card Number: CAN123456789; Passport Number: PQ4815162342; Registered Residence: Vancouver, British Columbia.","Ozld: Knio End; Ozuhnozmhux: Bzozehzo; Fdoeds: Lzmd; Lzshuzm Ruzutr: Rhofmd; Ezud ng Chsui: Lzx 23, 1993; Sdrhedouhzm Zeesdrr: 123 Lzqmd Rusddu, Unsnoun, Nouzshn, Z1C 2B3; HE Bzse Otlcds: BZO123456789; Qzrrqnsu Otlcds: QP4815162342; Sdfhrudsde Sdrhedobd: Wzobntwds, Cshuhri Bnmtlchz."
Personal Privacy Data,Identity Information,"James lives at 123 Maple Street, Apt 4, Springfield, IL, 62704. He is associated with family members Mary Doe and Richard Roe. His mobile number is 555-6789. He identifies as male and holds Irish nationality. Household registration states residence at 789 Oak Ridge, Newtown, Ireland.","Kzldr mhwdr zu 123 Lzqmd Rusddu, Zqu 4, Rqshofghdme, HM, 62704. Id hr zrrnbhzude vhui gzlhmx ldlcdsr Lzsx End zoe Shbizse Snd. Ihr lnchmd otlcds hr 555-6789. Id hedouhghdr zr lzmd zoe inmer Hshri ozuhnozmhux. Intrdinme sdfhruszuhno ruzudr sdrhedobd zu 789 Nzj Shefd, Odvunvo, Hsdmzoe."
Personal Privacy Data,Identity Information,"John Smith, born on January 15, 1990, holds American nationality and resides at 123 Elm Street, Springfield, Illinois. His mobile number is +1-312-555-6789, and his ID card number is IDURITY1234567. He is married to Jane Smith, who can be reached at +1-312-555-6789. They have two children: Emily (16, high school) and Michael (12, middle school). Their address and contact information are the same.","Knio Rlhui, cnso no Kzotzsx 15, 1990, inmer Zldshbzo ozuhnozmhux zoe sdrhedr zu 123 Dml Rusddu, Rqshofghdme, Hmmhonhr. Ihr lnchmd otlcds hr +1-312-555-6789, zoe ihr HE bzse otlcds hr HETSHUX1234567. Id hr lzsshde un Kzod Rlhui, vin bzo cd sdzbide zu +1-312-555-6789. Uidx izwd uvn bihmesdo: Dlhmx (16, ihfi rbinnm) zoe Lhbizdm (12, lheemd rbinnm). Uidhs zeesdrr zoe bnouzbu hognslzuhno zsd uid rzld."
Personal Privacy Data,Health Information,Medical Record Number: 987-654-321; Patient Name: James.,Ldehbzm Sdbnse Otlcds: 987-654-321; Qzuhdou Ozld: Kzldr.
Personal Privacy Data,Health Information,The Brian family has a history of heart disease.,Uid Cshzo gzlhmx izr z ihrunsx ng idzsu ehrdzrd.
Personal Privacy Data,Health Information,"Patient ID: R567890; Name: Sarah Johnson; Age: 29; Diagnoses: Migraine, Generalized Anxiety Disorder.","Qzuhdou HE: S567890; Ozld: Rzszi Kniorno; Zfd: 29; Ehzfonrdr: Lhfszhod, Fdodszmhade Zoyhdux Ehrnseds."
Personal Privacy Data,Health Information,Patient ID: R094713; Name: Jamie Lee; Age: 45; Gender: Female; EMR: EHR-234987.,Qzuhdou HE: S094713; Ozld: Kzlhd Mdd; Zfd: 45; Fdoeds: Gdlzmd; DLS: DIS-234987.
Personal Privacy Data,Health Information,"Individual ID: A1234567; Name: Jane Doe; Age: 34; Genetic Testing: Chromosome 16p11.2 Deletion, Celiac Disease Predisposition.","Hoehwhetzm HE: Z1234567; Ozld: Kzod End; Zfd: 34; Fdoduhb Udruhof: Bisnlnrnld 16q11.2 Edmduhno, Bdmhzb Ehrdzrd Qsdehrqnrhuhno."
Personal Privacy Data,Health Information,"Patient Name: Michael; Date of Birth: 1990-12-25; EMR ID: 391741601; Health Condition: Asthma; Treatment: Albuterol Inhaler; Allergies: Dust Mites, Pollen.","Qzuhdou Ozld: Lhbizdm; Ezud ng Chsui: 1990-12-25; DLS HE: 391741601; Idzmui Bnoehuhno: Zruilz; Usdzuldou: Zmctudsnm Hoizmds; Zmmdsfhdr: Etru Lhudr, Qnmmdo."
Personal Privacy Data,Health Information,"Ethan, 34, average daily step count: 7,500, sleep: 6.5 hours/night.","Duizo, 34, zwdszfd ezhmx rudq bntou: 7,500, rmddq: 6.5 intsr/ohfiu."
Personal Privacy Data,Health Information,"Patient ID: MRN903481; MRI: Mild lumbar disc herniation; Blood Test: Elevated cholesterol, follow-up with cardiologist recommended.","Qzuhdou HE: LSO903481; LSH: Lhme mtlczs ehrb idsohzuhno; Cmnne Udru: Dmdwzude binmdrudsnm, gnmmnv-tq vhui bzsehnmnfhru sdbnlldoede."
Personal Privacy Data,Health Information,"Medical Record Number: MR123456; Patient ID: PID987654; Allergy: Shellfish, bee stings, latex; reactions: anaphylaxis.","Ldehbzm Sdbnse Otlcds: LS123456; Qzuhdou HE: QHE987654; Zmmdsfx: Ridmmghri, cdd ruhofr, mzudy; sdzbuhnor: zozqixmzyhr."
Personal Privacy Data,Health Information,"Patient ID: MRN456789; Medical History: Emily, 38, diagnosed with asthma, treated with inhalers. Allergic to dust mites, pollen.","Qzuhdou HE: LSO456789; Ldehbzm Ihrunsx: Dlhmx, 38, ehzfonrde vhui zruilz, usdzude vhui hoizmdsr. Zmmdsfhb un etru lhudr, qnmmdo."
Personal Privacy Data,Health Information,"Vaccination: Fully vaccinated for COVID-19, Tetanus booster 2022-06-10. Diagnosed with mild anxiety disorder, counseling bi-weekly.","Wzbbhozuhno: Gtmmx wzbbhozude gns BNWHE-19, Uduzotr cnnruds 2022-06-10. Ehzfonrde vhui lhme zoyhdux ehrnseds, bntordmhof ch-vddjmx."
Personal Privacy Data,Health Information,"Patient Name: Justin; Date of Birth: 1984-06-15; EMR ID: 16697101; Condition: Type 2 Diabetes; Treatment: Metformin 500mg; Surgery: Appendectomy, 2022-08-11.","Qzuhdou Ozld: Ktruho; Ezud ng Chsui: 1984-06-15; DLS HE: 16697101; Bnoehuhno: Uxqd 2 Ehzcdudr; Usdzuldou: Ldugnslho 500lf; Rtsfdsx: Zqqdoedbunlx, 2022-08-11."
Personal Privacy Data,Health Information,"Medical Record Number: MR789504; Allergy: Penicillin, peanuts; reactions: anaphylactic shock.","Ldehbzm Sdbnse Otlcds: LS789504; Zmmdsfx: Qdohbhmmho, qdzotur; sdzbuhnor: zozqixmzbuhb rinbj."
Personal Privacy Data,Health Information,"Patient ID: 74823290-LA; Name: Jonathan Smith; DOB: 1975-06-10; Admission: 2023-07-15; Diagnosis: COPD Stage 2; Prescription: Albuterol, Spiriva; CT Scan: Emphysema.","Qzuhdou HE: 74823290-MZ; Ozld: Knozuizo Rlhui; ENC: 1975-06-10; Zelhrrhno: 2023-07-15; Ehzfonrhr: BNQE Ruzfd 2; Qsdrbshquhno: Zmctudsnm, Rqhshwz; BU Rbzo: Dlqixrdlz."
Personal Privacy Data,Education Data,"Jimmy, GPA: 3.71.","Khllx, FQZ: 3.71."
Personal Privacy Data,Education Data,Taylor was disciplined multiple times in middle school.,Uzxmns vzr ehrbhqmhode ltmuhqmd uhldr ho lheemd rbinnm.
Personal Privacy Data,Education Data,"Howard, ranked 11th.","Invzse, szojde 11ui."
Personal Privacy Data,Education Data,"John Doe, Mathematics: Score: 90, Credits: 3.","Knio End, Lzuidlzuhbr: Rbnsd: 90, Bsdehur: 3."
Personal Privacy Data,Education Data,"Student ID: S1972705010; Math: Score: 87, GPA: 3.75.","Rutedou HE: R1972705010; Lzui: Rbnsd: 87, FQZ: 3.75."
Personal Privacy Data,Education Data,"Emily R., Enrollment: 2020; Developmental Psychology: Score: 92, GPA: 3.8.","Dlhmx S., Dosnmmldou: 2020; Edwdmnqldouzm Qrxbinmnfx: Rbnsd: 92, FQZ: 3.8."
Personal Privacy Data,Education Data,"Sarah Lee, Advanced Data Science, Spring 2024; Payment: $2000, Bank Transfer.","Rzszi Mdd, Zewzobde Ezuz Rbhdobd, Rqshof 2024; Qzxldou: $2000, Czoj Uszorgds."
Personal Privacy Data,Education Data,"Sam, Subjects: Calculus (A), Biology (B+); GPA: 3.7, Ranking: Top 5%, Awards: Deans List (2023-06-10), Penalties: Late Submission (2023-09-15).","Rzl, Rtckdbur: Bzmbtmtr (Z), Chnmnfx (C+); FQZ: 3.7, Szojhof: Unq 5%, Zvzser: Edzor Mhru (2023-06-10), Qdozmuhdr: Mzud Rtclhrrhno (2023-09-15)."
Personal Privacy Data,Education Data,"Student ID: EN2979017107, Electrical Engineering, GPA: 3.7, Deans List 2022-2023, Innovation Award 2024, Robotics Club President.","Rutedou HE: DO2979017107, Dmdbushbzm Dofhoddshof, FQZ: 3.7, Edzor Mhru 2022-2023, Hoonwzuhno Zvzse 2024, Sncnuhbr Bmtc Qsdrhedou."
Personal Privacy Data,Education Data,"Jessica Brown, Bachelors in Biology, GPA: 3.9, Graduated 2023, Courses: Genetics, Microbiology, Ecology, Biochemistry.","Kdrrhbz Csnvo, Czbidmnsr ho Chnmnfx, FQZ: 3.9, Fszetzude 2023, Bntsrdr: Fdoduhbr, Lhbsnchnmnfx, Dbnmnfx, Chnbidlhrusx."
Personal Privacy Data,Education Data,"Student ID: EN2023XD8921, Computer Science, GPA: 3.8, Deans List 2021-2022, Outstanding Thesis Award 2023, Coding Club VP.","Rutedou HE: DO2023YE8921, Bnlqtuds Rbhdobd, FQZ: 3.8, Edzor Mhru 2021-2022, Nturuzoehof Uidrhr Zvzse 2023, Bnehof Bmtc WQ."
Personal Privacy Data,Education Data,"Alex Smith, Bachelors in Computer Science, GPA: 3.85, Expected Graduation: 2024, Courses: Algorithms, Data Structures, Machine Learning.","Zmdy Rlhui, Czbidmnsr ho Bnlqtuds Rbhdobd, FQZ: 3.85, Dyqdbude Fszetzuhno: 2024, Bntsrdr: Zmfnshuilr, Ezuz Rustbutsdr, Lzbihod Mdzsohof."
Personal Privacy Data,Education Data,"David Wilson, Masters in Data Science, GPA: 3.95, Expected Graduation: 2023, Courses: Big Data Analytics, Machine Learning, Data Visualization.","Ezwhe Vhmrno, Lzrudsr ho Ezuz Rbhdobd, FQZ: 3.95, Dyqdbude Fszetzuhno: 2023, Bntsrdr: Chf Ezuz Zozmxuhbr, Lzbihod Mdzsohof, Ezuz Whrtzmhazuhno."
Personal Privacy Data,Education Data,"Michael T., Business Administration, Financial Accounting: Score: 90, GPA: 3.7, Marketing: Score: 85, Ranking: 20th.","Lhbizdm U., Ctrhodrr Zelhohruszuhno, Ghozobhzm Zbbntouhof: Rbnsd: 90, FQZ: 3.7, Lzsjduhof: Rbnsd: 85, Szojhof: 20ui."
Enterprise Sensitive Data,Business Information,Supplier ID: SUP12345; Name: Global Supplies Inc.,Rtqqmhds HE: RTQ12345; Ozld: Fmnczm Rtqqmhdr Hob.
